                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0265,                 4.0666,                 4.2061,                0.00233,                 0.4843,                 0.0021,                0.00079,                 2.5985,                 4.0835,                 4.1278,                 0.0919,                 0.0009,                 0.0009
                      1,                 3.1033,                 3.9715,                  4.156,                0.00228,                0.34978,                0.00218,                0.00077,                 2.5974,                 4.0401,                 4.0945,               0.082881,              0.0018812,              0.0018812
                      2,                  2.996,                 3.8879,                 4.1194,                0.00218,                 0.2287,                 0.0026,                 0.0007,                 2.5934,                 4.0254,                 4.0675,               0.073843,              0.0028426,              0.0028426
                      3,                 3.0393,                 3.8376,                 4.0813,                0.00242,                0.29596,                0.00256,                0.00084,                 2.5853,                 4.0197,                 4.0388,               0.064784,              0.0037842,              0.0037842
                      4,                 3.0384,                 3.7021,                 4.0408,                0.00243,                0.29148,                0.00259,                0.00092,                 2.5777,                 4.0134,                 4.0046,               0.055706,               0.004706,               0.004706
                      5,                 3.1296,                  3.599,                 4.0007,                 0.0023,                0.25112,                0.00254,                0.00091,                 2.5736,                 3.9816,                 3.9754,               0.046608,              0.0056079,              0.0056079
                      6,                 3.0293,                 3.4717,                 3.9487,                0.00265,                0.55157,                 0.0056,                0.00157,                 2.5685,                 3.9464,                 3.9516,                0.03749,              0.0064901,              0.0064901
                      7,                 3.0329,                 3.3915,                 3.8891,                0.00262,                0.54709,                0.00585,                0.00159,                 2.5619,                 3.8911,                  3.921,               0.028353,              0.0073525,              0.0073525
                      8,                 3.0031,                 3.2897,                 3.8194,                0.00344,                0.71749,                0.04041,                0.01146,                 2.5417,                 3.7186,                 3.8491,               0.019195,              0.0081951,              0.0081951
                      9,                 2.9501,                 3.2749,                  3.778,                0.01356,                0.52466,                0.06184,                0.01866,                 2.5081,                  3.544,                 3.7576,               0.010018,              0.0090179,              0.0090179
                     10,                 2.7582,                 3.1196,                  3.643,                0.34544,                 0.1704,                0.13564,                0.03586,                 2.4124,                 3.3778,                 3.5568,                0.00901,                0.00901,                0.00901
                     11,                 2.9121,                 3.2647,                  3.701,                0.06405,                0.20179,                0.05831,                  0.018,                 2.5987,                 23.517,                 5.2479,                0.00901,                0.00901,                0.00901
                     12,                 2.8927,                 3.1417,                 3.5819,                0.11667,                0.09417,                0.04531,                0.01331,                 2.8418,                 42.246,                 7.5007,               0.008911,               0.008911,               0.008911
                     13,                 2.7651,                 3.1036,                 3.4978,                0.02236,                0.32735,                0.01359,                0.00394,                 2.9636,                 400.89,                 8.1906,               0.008812,               0.008812,               0.008812
                     14,                 2.7134,                  3.072,                 3.4344,                0.04107,                0.07623,                0.02067,                0.00622,                 2.5181,                 14.384,                 3.9676,               0.008713,               0.008713,               0.008713
                     15,                 2.6573,                 2.9907,                  3.404,                0.08968,                0.04933,                0.02004,                0.00688,                 2.7965,                 4.3439,                 4.9953,               0.008614,               0.008614,               0.008614
                     16,                 2.6931,                 2.8013,                 3.3394,                0.05722,                0.02242,                0.00864,                0.00224,                 3.5286,                 4.6873,                 8.6921,               0.008515,               0.008515,               0.008515
                     17,                 2.6943,                 2.8674,                 3.2749,                0.00184,                0.12108,                0.00127,                0.00025,                 4.3086,                 5.4482,                 10.168,               0.008416,               0.008416,               0.008416
                     18,                 2.6782,                 2.8555,                 3.2795,                0.00435,                0.01345,                0.00108,                0.00031,                 3.7212,                 5.3807,                  6.045,               0.008317,               0.008317,               0.008317
                     19,                 2.6287,                 2.8611,                 3.2244,                0.11007,                0.22296,                0.07303,                0.02334,                 2.6033,                 4.0571,                 4.0378,               0.008218,               0.008218,               0.008218
                     20,                 2.5854,                  2.697,                 3.1851,                 0.0481,                0.17489,                 0.0289,                0.00817,                  2.771,                  15.33,                 5.9563,               0.008119,               0.008119,               0.008119
                     21,                 2.5733,                 2.5757,                 3.1931,                0.08356,                0.20179,                0.05781,                0.01776,                 2.5386,                 4.1605,                 4.4589,                0.00802,                0.00802,                0.00802
                     22,                 2.5157,                 2.4697,                 3.1135,                0.24559,                0.16143,                0.11922,                0.04375,                 2.4463,                 3.2992,                 3.9818,               0.007921,               0.007921,               0.007921
